ID	Document Title	Authors	Publication Title	Publication Date	Abstract	Keywords							
1427	Fault diagnosis of electronic system using artificial intelligence	Fenton, B.; McGinnity, M.; Maguire, L.	Instrumentation & Measurement Magazine, IEEE	20021107	With increasing system complexity, shorter product life cycles, lower production costs, and changing technologies, the need for intelligent tools for all stages of a product's lifecycle is becoming increasingly important. The purpose of this article is to give a brief review how AI has been used in the field of electronic fault diagnosis. Topics discussed include: rule-based diagnostic systems; model-based diagnostic systems; case-based reasoning (CBR); fuzzy reasoning and artificial neural networks (ANN); hybrid approaches; IEEE diagnostic standards and automated diagnostic tool future developments.	,Artificial intelligence;Circuit faults;Circuit testing;Digital circuits;Fault diagnosis;Knowledge acquisition;Mathematical model;Predictive models;Sequential circuits;Telephony,IEEE standards;automatic test equipment;case-based reasoning;diagnostic expert systems;diagnostic reasoning;electronic equipment testing;failure analysis;fault diagnosis;fuzzy logic;knowledge engineering;neural netsAI;ANN;CBR;IEEE diagnostic standards;artificial intelligence;artificial neural networks;automated diagnostic tools;case-based reasoning;electronic system fault diagnosis;fuzzy logic;fuzzy reasoning;hybrid diagnostic systems;intelligent tools;model-based diagnostic systems;rule-based diagnostic systems							
1428	A random switching method for HPWM full-bridge inverter	Tsu-Hua Ai; Jiann-Fuh Chen; Tsorng-Juu Liang	Industrial Electronics, IEEE Transactions on	20020807	To overcome the problem of unequal switching loss in power switches, in conventional hybrid pulse width modulation (HPWM) full-bridge inverters, a random switching method for HPWM full-bridge inverters is proposed. The proposed method equalizes switching losses of the four switches, while also providing good output performance	,Circuits;Frequency;Heating;Pulse inverters;Pulse width modulation;Pulse width modulation inverters;Reliability;Signal generators;Switches;Switching loss,DC-AC power convertors;PWM invertors;bridge circuits;losses;switching circuitsHPWM full-bridge inverter;hybrid pulse width modulation;output performance;power switches;random switching method;unequal switching loss reduction							
1429	Analyzing outliers cautiously	Xiaohui Liu; Gongxian Cheng; Wu, J.X.	Knowledge and Data Engineering, IEEE Transactions on	20020807	"Outliers are difficult to handle because some of them can be measurement errors, while others may represent phenomena of interest, something ""significant"" from the viewpoint of the application domain. Statistical and computational methods have been proposed to detect outliers, but further analysis of outliers requires much relevant domain knowledge. In our previous work (1994), we suggested a knowledge-based method for distinguishing between the measurement errors and phenomena of interest by modeling ""real measurements"" - how measurements should be distributed in an application domain. In this paper, we make this distinction by modeling measurement errors instead. This is a cautious approach to outlier analysis, which has been successfully applied to a medical problem and may find interesting applications in other domains such as science, engineering, finance, and economics"	,Biomedical engineering;Finance;Measurement errors,data mining;knowledge based systems;measurement errors;medical computing;self-organising feature mapsAI modeling;domain knowledge;glaucoma;knowledge-based system;measurement errors;noise modeling;outliers;self-organizing maps;visual impairments							
1430	Introduction		Current Topics in Computational Molecular Biology	20120924	Computational molecular biology, or bioinformatics, draws on the disciplines of biology, mathematics, statistics, physics, chemistry, computer science, and engineering. It provides the computational support for functional genomics, which links the behavior of cells, organisms, and populations to the information encoded in the genomes, as well as for structural genomics. At the heart of all large-scale and high-throughput biotechnologies, it has a growing impact on health and medicine.This survey of computational molecular biology covers traditional topics such as protein structure modeling and sequence alignment, and more recent ones such as expression data analysis and comparative genomics. It combines algorithmic, statistical, database, and AI-based methods for studying biological problems. The book also contains an introductory chapter, as well as one on general statistical modeling and computational techniques in molecular biology. Each chapter presents a self-contained review of a specific subject.Not for sale in China, including Hong Kong								
1431	Degradation of GMR and TMR recording heads using very-short-duration ESD transients	Baril, L.; Nichols, M.; Wallash, A.	Magnetics, IEEE Transactions on	20021210	Electrostatic discharge (ESD) testing results for giant magnetoresistive (GMR) and tunneling magnetoresistive (TMR) recording heads using a direct charged device model (D-CDM) tester are reported for the first time. The D-CDM is intended to replicate the ESD event produced by metal-to-metal contact discharge that occurs as a charged component discharges to another object at a different electrostatic potential. This discharge, through a very short path to ground, corresponds to an extremely fast (p+pp+ diodes driven by dc bias and terahertz (THz) electromagnetic radiation. Interesting nonlinear dynamics are presented, including current synchronization, frequency doubling, and transition to chaos. Discussions of suppressing possible chaos in NEM semiconductor devices are included. ﾩ 2001 American Institute of Physics.	bifurcation;chaos;current fluctuations;nonlinear dynamical systems;quantum well devices;semiconductor device models;semiconductor device noise;semiconductor diodes;synchronisation0545Xt;8530De;8530Kk;8535Be,							
1452	Glossary		Understanding Intelligence	20120924	"By the mid-1980s researchers from artificial intelligence, computer science, brain and cognitive science, and psychology realized that the idea of computers as intelligent machines was inappropriate. The brain does not run ""programs""; it does something entirely different. But what? Evolutionary theory says that the brain has evolved not to do mathematical proofs but to control our behavior, to ensure our survival. Researchers now agree that intelligence always manifests itself in behavior--thus it is behavior that we must understand. An exciting new field has grown around the study of behavior-based intelligence, also known as embodied cognitive science, ""new AI,"" and ""behavior-based AI.""This book provides a systematic introduction to this new way of thinking. After discussing concepts and approaches such as subsumption architecture, Braitenberg vehicles, evolutionary robotics, artificial life, self-organization, and learning, the authors derive a set of principles and a coherent framework for the study of naturally and artificially intelligent systems, or autonomous agents. This framework is based on a synthetic methodology whose goal is understanding by designing and building.The book includes all the background material required to understand the principles underlying intelligence, as well as enough detailed information on intelligent robotics and simulated agents so readers can begin experiments and projects on their own. The reader is guided through a series of case studies that illustrate the design principles of embodied cognitive science."								
1453	Design and Evaluation		Understanding Intelligence	20120924	"By the mid-1980s researchers from artificial intelligence, computer science, brain and cognitive science, and psychology realized that the idea of computers as intelligent machines was inappropriate. The brain does not run ""programs""; it does something entirely different. But what? Evolutionary theory says that the brain has evolved not to do mathematical proofs but to control our behavior, to ensure our survival. Researchers now agree that intelligence always manifests itself in behavior--thus it is behavior that we must understand. An exciting new field has grown around the study of behavior-based intelligence, also known as embodied cognitive science, ""new AI,"" and ""behavior-based AI.""This book provides a systematic introduction to this new way of thinking. After discussing concepts and approaches such as subsumption architecture, Braitenberg vehicles, evolutionary robotics, artificial life, self-organization, and learning, the authors derive a set of principles and a coherent framework for the study of naturally and artificially intelligent systems, or autonomous agents. This framework is based on a synthetic methodology whose goal is understanding by designing and building.The book includes all the background material required to understand the principles underlying intelligence, as well as enough detailed information on intelligent robotics and simulated agents so readers can begin experiments and projects on their own. The reader is guided through a series of case studies that illustrate the design principles of embodied cognitive science."								
1454	Negotiations about How to Reduce Pollution		Strategic Negotiation in Multiagent Environments	20120924	This chapter contains section titled: Problem Description, Attributes of the Utility Functions, Complete Information, Incomplete Information, Market Mechanisms and AI Methods for Pollution Control								
1455	An artificial intelligent algorithm for tumor detection in screening mammogram	Lei Zhen; Chan, A.K.	Medical Imaging, IEEE Transactions on	20020807	Cancerous tumor mass is one of the major types of breast cancer. When cancerous masses are embedded in and camouflaged by varying densities of parenchymal tissue structures, they are very difficult to be visually detected on mammograms. This paper presents an algorithm that combines several artificial intelligent techniques with the discrete wavelet transform (DWT) for detection of masses in mammograms. The AI techniques include fractal dimension analysis, multiresolution Markov random field, dogs-and-rabbits algorithm, and others. The fractal dimension analysis serves as a preprocessor to determine the approximate locations of the regions suspicious for cancer in the mammogram. The dogs-and-rabbits clustering algorithm is used to initiate the segmentation at the LL subband of a three-level DWT decomposition of the mammogram. A tree-type classification strategy is applied at the end to determine whether a given region is suspicious for cancer. The authors have verified the algorithm with 322 mammograms in the Mammographic Image Analysis Society Database. The verification results show that the proposed algorithm has a sensitivity of 97.3% and the number of false positives per image is 3.92.	,Algorithm design and analysis;Artificial intelligence;Breast cancer;Breast neoplasms;Cancer detection;Clustering algorithms;Discrete wavelet transforms;Fractals;Markov random fields;Tumors,Markov processes;discrete wavelet transforms;fractals;image classification;image segmentation;mammography;medical image processing;tumoursartificial intelligent algorithm;breast cancer;cancerous tumor mass;discrete wavelet transform;dogs-and-rabbits algorithm;false positives;fractal dimension analysis;medical diagnostic imaging;multiresolution Markov random field;parenchymal tissue structures;screening mammogram;tree-type classification strategy;tumor detectionAlgorithms;Artificial Intelligence;Breast Neoplasms;Databases, Factual;Decision Support Techniques;Female;Fractals;Humans;Image Processing, Computer-Assisted;Mammography;Markov Chains;Sensitivity and Specificity;Signal Processing, Computer-Assisted							
1456	Effect of cathode material on the opening performance of microsecond-conduction-time plasma opening switch	Zhengzhong Zeng; Fengju Sun; Yuchang Qiu; Feng Bai; Aici Qiu	Plasma Science, IEEE Transactions on	20020807	Experiments were conducted to investigate the effect of cathode material on the opening performance of microsecond-conduction-time plasma opening switch with cathode made of aluminum, stainless steel, molybdenum and tungsten. Remarkably different opening characteristics have been shown for these materials, with tungsten or molybdenum corresponding to better opening performance than aluminum or stainless steel. Heuristic physical explanations are proposed for understanding the switch behavior	,Aluminum;Building materials;Cathodes;Conducting materials;Delay effects;Plasma materials processing;Plasma properties;Steel;Switches;Voltage,cathodes;plasma switchesAl;Al cathode;FeC;Mo;Mo cathode;W;W cathode;cathode material;heuristic physical explanations;microsecond-conduction-time plasma opening switch;opening performance;stainless steel cathode							
1457	Estimation of mechanical properties from gated SPECT and cine MRI data using a finite-element mechanical model of the left ventricle	Feng, B.; Veress, A.I.; Sitek, A.; Gullberg, G.T.; Roy, D.G.	Nuclear Science, IEEE Transactions on	20020807	A significant challenge in diagnosing cardiac disease is determining the viability of myocardial tissue when evaluating the prognosis of vascular bypass surgery. A finite-element mechanical model of the left ventricular myocardium was developed to evaluate mechanical properties of the myocardium, which is an important indicator of viable myocardial tissue and of several aspects of congestive heart failure. The model of the heart muscle mechanics was derived from the passive and active behavior of skeletal muscle, which is considered to be a quasi-incompressible transversely isotropic hyperelastic material of a specified helical fiber structure configuration. Contraction of the myocardium was replicated by simulating active contractions along the helical fibers, then solving (quasi-statically) for the associated boundary valued problem at a sequence of time steps between end-diastole and end-systole of the cardiac cycle. At each time step, the finite-element software package ABAQUS was used to determine the deformation of the left ventricle, which was loaded by intraventricular pressure. An ellipsoidal and a cylindrical model of the left ventricle were developed under both passive loading and active contraction. Parameters that describe the material properties of the myocardium were estimated for the cylindrical model by fitting the radial motion described by the model to gated SPECT and cine MRI data. The authors found that the estimation was sensitive to the measurement of the motion. Results from the finite-clement analysis were compared to those from a purely mathematical description of the cylindrical model	,Biological materials;Cardiac disease;Finite element methods;Heart;Magnetic resonance imaging;Mechanical factors;Motion estimation;Muscles;Myocardium;Surgery,biomechanics;biomedical MRI;cardiology;finite element analysis;muscle;physiological models;single photon emission computed tomographycine MRI data;finite-element mechanical model;gated SPECT;left ventricle;magnetic resonance imaging;mechanical properties estimation;medical diagnostic imaging;nuclear medicine							
1458	Creating autonomous roboticists	Miller, D.P.; Stein, C.	Intelligent Systems, IEEE	20050404	KISS Institute's Botball program is a national program, designed for middle and high school students, that uses the activities of robot building and programming to engage students in science, technology, engineering and mathematics. Botball puts robotics equipment into schools, then trains students and teachers in that equipment's use. The program is organized into spring regional tournaments and a national Botball tournament held at the Annual National Conference on Artificial Intelligence. This program is playing an important role in creating and inspiring the next generation of AI and robotics technologists, many of whom might very well be the engineers and computer scientists who design and build sophisticated, highly autonomous rovers and other space platforms for future NASA missions of exploration. The inspiration cuts both ways.	,Artificial intelligence;Buildings;Design engineering;Educational institutions;Educational robots;Mathematical programming;Mathematics;Robot programming;Space technology;Springs,aerospace control;computer science education;control engineering education;games of skill;mobile robots;robot programming;sportAI technologists;Botball;KISS Institute;NASA missions;artificial intelligence;autonomous roboticists;inspiration;national tournament;regional tournaments;robot building;robot programming;robot soccer;robotics technologists;school students;space robots;training							
1459	Spectrum dynamics of negative-effective-mass oscillators under terahertz radiation	Cao, J.C.; Lei, X.L.; Li, A.Z.; Liu, H.C.	Applied Physics Letters	20090618	We report on a theoretical investigation of power spectrum dynamics in negative-effective-mass (NEM) p+pp+ oscillators under the influence of terahertz (THz) electromagnetic radiation. Possible types of transport states (periodic or chaotic) and transitions between them are examined with the intensity and frequency of the radiation as controlling parameters. When the driving frequency is fixed to the self-oscillating frequency times the inverse Golden ratio, the resulting power spectrum pattern displays a very complex mosaic scenario with a self-similar emergence of high-order mixing frequencies. ﾩ 2001 American Institute of Physics.	bifurcation;chaos;effective mass;nonlinear dynamical systems;submillimetre wave diodes;submillimetre wave oscillators0545Xt;0757Hm;8430Ng;8530Kk,							
1460	Asymmetry in search	Kaindl, H.; Kainz, G.; Radda, K.	Systems, Man, and Cybernetics, Part B: Cybernetics, IEEE Transactions on	20020807	Most of the work on search in artificial intelligence (AI) deals with one search direction only-mostly forward search-although it is known that a structural asymmetry of the search graph causes differences in the efficiency of searching in the forward or the backward direction, respectively. In the case of symmetrical graph structure, however, current theory would not predict such differences in efficiency. In several classes of job sequencing problems, we observed a phenomenon of asymmetry in search that relates to the distribution of the are costs in the search graph. This phenomenon can be utilized for improving the search efficiency by a new algorithm that automatically selects the search direction. We demonstrate fur a class of job sequencing problems that, through the utilization of this phenomenon, much more difficult problems can be solved-according to our best knowledge-than by the best published approach, and on the same problems, the running time is much reduced. As a consequence, we propose to check given problems for asymmetrical distribution of are costs that may cause asymmetry in search	,Artificial intelligence;Cities and towns;Concrete;Cost function,artificial intelligence;graph theory;search problems;symmetryartificial intelligence;asymmetry;job sequencing problems;running time;search;search graph;structural asymmetry;symmetrical graph structure							
1461	References		Understanding Intelligence	20120924	"By the mid-1980s researchers from artificial intelligence, computer science, brain and cognitive science, and psychology realized that the idea of computers as intelligent machines was inappropriate. The brain does not run ""programs""; it does something entirely different. But what? Evolutionary theory says that the brain has evolved not to do mathematical proofs but to control our behavior, to ensure our survival. Researchers now agree that intelligence always manifests itself in behavior--thus it is behavior that we must understand. An exciting new field has grown around the study of behavior-based intelligence, also known as embodied cognitive science, ""new AI,"" and ""behavior-based AI.""This book provides a systematic introduction to this new way of thinking. After discussing concepts and approaches such as subsumption architecture, Braitenberg vehicles, evolutionary robotics, artificial life, self-organization, and learning, the authors derive a set of principles and a coherent framework for the study of naturally and artificially intelligent systems, or autonomous agents. This framework is based on a synthetic methodology whose goal is understanding by designing and building.The book includes all the background material required to understand the principles underlying intelligence, as well as enough detailed information on intelligent robotics and simulated agents so readers can begin experiments and projects on their own. The reader is guided through a series of case studies that illustrate the design principles of embodied cognitive science."								
1462	The Study of IntelligenceﾗFoundations and Issues		Understanding Intelligence	20120924	"By the mid-1980s researchers from artificial intelligence, computer science, brain and cognitive science, and psychology realized that the idea of computers as intelligent machines was inappropriate. The brain does not run ""programs""; it does something entirely different. But what? Evolutionary theory says that the brain has evolved not to do mathematical proofs but to control our behavior, to ensure our survival. Researchers now agree that intelligence always manifests itself in behavior--thus it is behavior that we must understand. An exciting new field has grown around the study of behavior-based intelligence, also known as embodied cognitive science, ""new AI,"" and ""behavior-based AI.""This book provides a systematic introduction to this new way of thinking. After discussing concepts and approaches such as subsumption architecture, Braitenberg vehicles, evolutionary robotics, artificial life, self-organization, and learning, the authors derive a set of principles and a coherent framework for the study of naturally and artificially intelligent systems, or autonomous agents. This framework is based on a synthetic methodology whose goal is understanding by designing and building.The book includes all the background material required to understand the principles underlying intelligence, as well as enough detailed information on intelligent robotics and simulated agents so readers can begin experiments and projects on their own. The reader is guided through a series of case studies that illustrate the design principles of embodied cognitive science."								
1463	Why is that computer laughing?	Lewin, D.I.	Intelligent Systems, IEEE	20050404	Will the artificial intelligences of the future learn to love? Will intelligent agents be able to understand and mimic human emotions? Will computer programs become more sensitive to their users' moods? These are a few of the questions, some serious, some not, that AI researchers are confronting as they seek to determine the place of emotions in their field. Researchers are studying the role of emotions in AI from a variety of viewpoints: to develop agents and robots that interact more gracefully with humans, to develop systems that use the analog of emotions to aid their own reasoning, or to create agents or robots that more closely model human emotional interactions and learning.	,Artificial intelligence;Computer displays;Face detection;Facial animation;Human robot interaction;Intelligent agent;Intelligent robots;Intelligent systems;Mobile robots;Wearable computers,artificial intelligence;human factors;interactive systems;robots;user modellingAI researchers;artificial intelligences;human emotional interactions;human emotions;human machine interactive systems;intelligent agents;learning;reasoning;robots;user moods							
1464	Language games for autonomous robots	Steels, L.	Intelligent Systems, IEEE	20050404	Integration and grounding are key AI challenges for human-robot dialogue. The author and his team are tackling these issues using language games and have experimented with them on progressively more complex platforms. A language game is a sequence of verbal interactions between two agents situated in a specific environment. Language games both integrate the various activities required for dialogue and ground unknown words or phrases in a specific context, which helps constrain possible meanings.	,Artificial intelligence;Computer science;Concurrent computing;Distributed computing;Grounding;Hardware;Humanoid robots;Pattern recognition;Signal processing algorithms;Steel,natural language interfaces;robotsautonomous robots;flexible grounded dialogue systems;human-robot dialogue;humanoid robots;language games;natural language interfaces;open-ended dialogue;pet robots;verbal interactions							
1465	Room temperature aging behavior of thermally imprinted Pt/SrBi2Ta2O9/Pt ferroelectric thin film capacitors	Wu, Di; Li, Aidong; Ling, Huiqin; Yu, Tao; Liu, Zhiguo; Ming, Naiben	Journal of Applied Physics	20090618	Metalorganic-decomposition-derived SrBi2Ta2O9 (SBT) ferroelectric thin films, sandwiched between Pt electrodes, were imprinted by heat treatment at 130 ﾰC in air. The aging behavior at room temperature of these imprinted SBT capacitors was observed. The voltage shifts of imprinted PﾖV hysteresis loops increased with the increase of aging time, which indicated the strengthening of the internal bias created by the thermal treatment. With the strengthening of the internal bias, asymmetry of data loss was observed to increase with increasing aging time. The mechanism of the internal bias strengthening, the resultant asymmetric data loss and possible function failure due to this aging behavior were briefly discussed. ﾩ 2001 American Institute of Physics.	ageing;bismuth compounds;dielectric hysteresis;ferroelectric capacitors;ferroelectric ceramics;ferroelectric thin films;platinum;strontium compounds;thin film capacitors7755+f;7780Dj;7784Dy;8432Tt;8550-n,							
1466	Fair resource sharing scheduling for cellular data services with QoS provisioning	Chen, J.-L.; Chao, H.-C.	Communications, IEE Proceedings-	20020807	To provide cellular data services with QoS provisions, a shared resource scheme, based on optimisation theory and LaGrange ?-calculus, has been developed. This scheme can generate a fair schedule for a diverse mix of traffic with diverse QoS requirements in a limited radio spectrum. The authors define the acceptance indication (AI) as the QoS measurement of the shared resource scheme. The experimental results show that as much as 2.5% improvement in the mean acceptance rate is obtained relative to other existing schemes	calculus;cellular radio;data communication;optimisation;quality of service;radio networks;telecommunication trafficLaGrange ?-calculus;QoS measurement;QoS provisioning;acceptance indication;cellular data networks;cellular data services;fair resource sharing scheduling;limited radio spectrum;mean acceptance rate;optimisation theory;shared resource scheme;traffic							
1467	A programmable continuous-time floating-gate Fourier processor	Kucic, M.; Ai Chen Low; Hasler, P.; Neff, J.	Circuits and Systems II: Analog and Digital Signal Processing, IEEE Transactions on	20020807	We present a programmable continuous-time floating-gate Fourier processor that decomposes the incoming signal into frequency bands by analog bandpass filters, multiplies each channel by a nonvolatile weight, and then recombines the frequency channels. A digital signal processor would take a similar approach of computing a fast Fourier transform (FFT), multiplying the frequency components by a weight and then computing an inverse PFT. We decompose the frequency bands of the incoming signal using the transistor-only version of the autozeroing floating-gate amplifier (AFGA), also termed the capacitively coupled current conveyer (C4). Each band decomposition is then fed through a floating-gate multiplier to perform the band weighting. Finally, the multiplier outputs are summed using Kirchoff current law to give a band-weighted output of the original signal. We examine many options to reduce second-order harmonic problems inherent in the single-sided C4. We present a method for programming arrays of floating-gate devices that are used in the weighting of the bands. All of these pieces fit together to form an elegant and systematic Fourier processor	,Band pass filters;Broadcasting;Circuits;Digital signal processing;Digital signal processing chips;Fast Fourier transforms;Frequency;Nonvolatile memory;Signal processing;Voltage,analogue processing circuits;band-pass filters;continuous time filters;current conveyors;fast Fourier transforms;programmable circuitsKirchoff current law;analog bandpass filters;autozeroing floating-gate amplifier;band decomposition;band weighting;band-weighted output;capacitively coupled current conveyer;frequency bands;incoming signal decomposition;multiplier outputs;nonvolatile weight;programmable continuous-time floating-gate Fourier processor;second-order harmonic problems;systematic Fourier processor							
1468	Challenges for intelligent systems in biology	Altman, R.B.	Intelligent Systems, IEEE	20050404	Biological processes have produced the ultimate intelligent system (humans), and now we are trying to understand biology (and ourselves) by building intelligent systems. Intelligent systems research in biology strives to understand how living systems perform difficult tasks routinely (ranging from molecular phenomena such as protein-folding to organism-level phenomena such as cognition). The definition of intelligent systems in biology can lead to hours of debate. Some say that all high-performance systems that do something difficult with (or to) biological data should be considered intelligent systems. Others insist that the term intelligent system should be reserved for systems using the methods typically associated with modem AI.	,Bioinformatics;Biological information theory;DNA;Genomics;Intelligent systems;Organisms;Proteins;RNA;Sequences;Systems biology,biology computing;knowledge based systemsAI;biology;high-performance systems;intelligent systems							
1469	IEEE Recommended Practice for Precision Centrifuge Testing of Linear Accelerometers		IEEE Std 836-2001	20020806	This recommended practice provides a guide to the conduct and analysis of precision centrifuge tests of linear accelerometers, covering each phase of the tests, beginning with the planning. Possible error sources and typical methods of data analysis are addressed. The intent is to provide those involved in centrifuge testing with a detailed understanding of the various factors affecting the accuracy of measurement, both those associated with the centrifuge and those in the data collection process. Model equations are discussed, both for the centrifuge and for a typical linear accelerometer, each with the complexity needed to accommodate the various identified characteristics and error sources in each. An iterative matrix equation solution is presented for deriving the various model equation coefficients for the accelerometer under test from the centrifuge test data.	IEEE standards;accelerometers;centrifuges;conformance testing;data analysis;matrix algebra;measurement errors;measurement standardsIEEE recommended practice;centrifuge test data;data analysis;data collection process;error sources;iterative matrix equation solution;linear accelerometers;measurement accuracy;model equation coefficients;model equations;planning;precision centrifuge testing							
1470	Generality-based conceptual clustering with probabilistic concepts	Talavera, L.; Bejar, J.	Pattern Analysis and Machine Intelligence, IEEE Transactions on	20020807	Statistical research in clustering has almost universally focused on data sets described by continuous features and its methods are difficult to apply to tasks involving symbolic features. In addition, these methods are seldom concerned with helping the user in interpreting the results obtained. Machine learning researchers have developed conceptual clustering methods aimed at solving these problems. Following a long term tradition in AI, early conceptual clustering implementations employed logic as the mechanism of concept representation. However, logical representations have been criticized for constraining the resulting cluster structures to be described by necessary and sufficient conditions. An alternative are probabilistic concepts which associate a probability or weight with each property of the concept definition. In this paper, we propose a symbolic hierarchical clustering model that makes use of probabilistic representations and extends the traditional ideas of specificity-generality typically found in machine learning. We propose a parameterized measure that allows users to specify both the number of levels and the degree of generality of each level. By providing some feedback to the user about the balance of the generality of the concepts created at each level and given the intuitive behavior of the user parameter, the system improves user interaction in the clustering process	,Artificial intelligence;Clustering methods;Data analysis;Data mining;Feedback;Logic;Machine learning;Sufficient conditions;Tree data structures;Unsupervised learning,pattern clustering;probabilityAI;continuous features;data sets;feedback;generality-based conceptual clustering;logical representations;machine learning;necessary and sufficient conditions;probabilistic concepts;probabilistic representations;statistical research;symbolic features;symbolic hierarchical clustering model;user interaction							
1471	Subject Index		Understanding Intelligence	20120924	"By the mid-1980s researchers from artificial intelligence, computer science, brain and cognitive science, and psychology realized that the idea of computers as intelligent machines was inappropriate. The brain does not run ""programs""; it does something entirely different. But what? Evolutionary theory says that the brain has evolved not to do mathematical proofs but to control our behavior, to ensure our survival. Researchers now agree that intelligence always manifests itself in behavior--thus it is behavior that we must understand. An exciting new field has grown around the study of behavior-based intelligence, also known as embodied cognitive science, ""new AI,"" and ""behavior-based AI.""This book provides a systematic introduction to this new way of thinking. After discussing concepts and approaches such as subsumption architecture, Braitenberg vehicles, evolutionary robotics, artificial life, self-organization, and learning, the authors derive a set of principles and a coherent framework for the study of naturally and artificially intelligent systems, or autonomous agents. This framework is based on a synthetic methodology whose goal is understanding by designing and building.The book includes all the background material required to understand the principles underlying intelligence, as well as enough detailed information on intelligent robotics and simulated agents so readers can begin experiments and projects on their own. The reader is guided through a series of case studies that illustrate the design principles of embodied cognitive science."								
1472	An AI tool for supervising substations	Ayala, M.S.; Botura, G.J.; Maldonado, O.A.	Potentials, IEEE	20020807	Electric substations are facilities in charge of transform the voltage into safe and effective energy for the final consumers. This operation has to be carried out with enough quality assurance and without damaging the equipment. The associated cost to ensure this quality and security is high. Automatic mechanisms are used, however, they mostly operate under an individual's control and use the protection logic related with the equipment itself. They do not consider the state of the whole substation at a given moment. It is possible to control the state of circuit breakers (CB) in a substation using a knowledge base even when all the magnitudes to be controlled cannot be included in the analysis. It will be shown that it is possible to control the desired state while supervising some important magnitudes such as the voltage, power factor and harmonic distortion as well as the present state. At the same time, the programming tool developed for this purpose is discussed	,Artificial intelligence;Automatic control;Automatic logic units;Circuit breakers;Costs;Quality assurance;Reactive power;Security;Substation protection;Voltage control,artificial intelligence;circuit breakers;power system control;substationscircuit breakers;energy conservation;harmonic distortion;knowledge base;power factor;power system automation;programming tool;quality assurance;substations							
1473	Impact of forming gas annealing on the fatigue characteristics of ferroelectric SrBi2Ta2O9 thin films	Wang, Dong-Sheng; Yu, Tao; Hu, An; Wu, Di; Li, Ai-Dong; Liu, Zhi-guo; Ming, Nai&#x2010;ben	Applied Physics Letters	20090618	The metalorganic decomposition-derived SrBi2Ta2O9 (SBT) ferroelectric thin films were annealed in forming gas (5%H2+95%N2), and their fatigue characteristics were investigated. Although the hysteresis loops of these films had an unacceptable degradation under such a H2-containing reducing atmosphere, no obvious polarization fatigue with electric field cycling could be observed. However, an increase of P*r was observed over the initial period of the fatigue test. It could be viewed as a competition between the increase of P*r due to the leakage current and the decrease of P*r due to switching polarization. H2 played an important role in the increasing in the leakage current of SBT thin films, forming more weak pinning centers of domain walls, and degradation in the fatigue characteristics. ﾩ 2001 American Institute of Physics.	MOCVD coatings;annealing;bismuth compounds;dielectric polarisation;electric domain walls;ferroelectric materials;ferroelectric thin films;strontium compounds6172Cc;6855Jk;7722Ej;7755+f;7780Dj;7784Dy;8115Gh,							
1474	A novel integrated micromachined tunable laser using polysilicon 3-D mirror	Liu, A.Q.; Zhang, X.M.; Murukeshan, V.M.; Lam, Y.L.	Photonics Technology Letters, IEEE	20020807	A prototype tunable laser of /spl sim/2 mm/spl times/1.5 mm size has been developed for wavelength-division-multiplexing (WDM) application. This device is an integrated micromachined polysilicon three-dimensional (3-D) mirror with a single-mode Fabry-Perot laser diode and an antireflection-coated optical fiber. The micromirror can be driven to move laterally by an electrostatic comb-drive that changes the external cavity length of laser diode enabling wavelength tuning. A wavelength-tunable range of 16 nm is obtained using a driving voltage within /spl plusmn/3 V at a bias voltage of 10 V.	,Diode lasers;Fabry-Perot;Fiber lasers;Micromirrors;Mirrors;Optical fibers;Prototypes;Tunable circuits and devices;Voltage;Wavelength division multiplexing,Fabry-Perot resonators;antireflection coatings;electro-optical devices;integrated optics;laser cavity resonators;laser mirrors;laser modes;laser tuning;micro-optics;micromachining;semiconductor lasers;silicon;wavelength division multiplexing1.5 mm;10 V;2 mm;Si;antireflection-coated optical fiber;bias voltage;driving voltage;electrostatic comb-drive;external cavity length;integrated micromachined polysilicon three-dimensional mirror;integrated micromachined tunable laser;micromirror;polysilicon 3-D mirror;single-mode Fabry-Perot laser diode;wavelength tuning;wavelength-division-multiplexing;wavelength-tunable range							
